Account_ID,Account_Name,Domain,Market,Country,Player_Type,Residential_Operation,Multifamily_Exposure,Affordable_Only,Sunbelt_Flag,AUM_Bucket,Fit_Score,Source_List,Notes_Analyst,Evidence_URL,Last_Updated,Analyst_Owner
A0001,Sample Asset Manager 01,sample01.andessample.com,US - Sunbelt,US,Asset Manager,No,No,Yes,Yes,<1B,60,Mock Data v1,Sample Asset Manager account #1 in US - Sunbelt with <1B AUM bucket.,https://sample01.andessample.com/portfolio,2025-11-20,Capitan
A0002,Sample Developer 02,sample02.andessample.com,US - Gateway,US,Developer,Yes,Yes,No,No,1-3B,62,Mock Data v1,Sample Developer account #2 in US - Gateway with 1-3B AUM bucket.,https://sample02.andessample.com/portfolio,2025-11-20,Martin
A0003,Sample Family Office 03,sample03.andessample.com,US - Secondary,US,Family Office,Yes,Yes,No,No,3-5B,64,Mock Data v1,Sample Family Office account #3 in US - Secondary with 3-5B AUM bucket.,https://sample03.andessample.com/portfolio,2025-11-20,Equipo SDR
A0004,Sample Other 04,sample04.andessample.com,Chile - RM,CL,Other,Yes,No,No,No,>5B,66,Mock Data v1,Sample Other account #4 in Chile - RM with >5B AUM bucket.,https://sample04.andessample.com/portfolio,2025-11-20,Capitan
A0005,Sample Asset Manager 05,sample05.andessample.com,Chile - V Region,CL,Asset Manager,Yes,Yes,No,No,<1B,68,Mock Data v1,Sample Asset Manager account #5 in Chile - V Region with <1B AUM bucket.,https://sample05.andessample.com/portfolio,2025-11-20,Martin
A0006,Sample Developer 06,sample06.andessample.com,US - Sunbelt,US,Developer,No,Yes,No,Yes,1-3B,70,Mock Data v1,Sample Developer account #6 in US - Sunbelt with 1-3B AUM bucket.,https://sample06.andessample.com/portfolio,2025-11-20,Equipo SDR
A0007,Sample Family Office 07,sample07.andessample.com,US - Gateway,US,Family Office,Yes,No,No,No,3-5B,72,Mock Data v1,Sample Family Office account #7 in US - Gateway with 3-5B AUM bucket.,https://sample07.andessample.com/portfolio,2025-11-20,Capitan
A0008,Sample Other 08,sample08.andessample.com,US - Secondary,US,Other,Yes,Yes,Yes,No,>5B,74,Mock Data v1,Sample Other account #8 in US - Secondary with >5B AUM bucket.,https://sample08.andessample.com/portfolio,2025-11-20,Martin
A0009,Sample Asset Manager 09,sample09.andessample.com,Chile - RM,CL,Asset Manager,Yes,Yes,No,No,<1B,76,Mock Data v1,Sample Asset Manager account #9 in Chile - RM with <1B AUM bucket.,https://sample09.andessample.com/portfolio,2025-11-20,Equipo SDR
A0010,Sample Developer 10,sample10.andessample.com,Chile - V Region,CL,Developer,Yes,No,No,No,1-3B,78,Mock Data v1,Sample Developer account #10 in Chile - V Region with 1-3B AUM bucket.,https://sample10.andessample.com/portfolio,2025-11-20,Capitan
